Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ANXA4,18,6,0.022033728705400466,0.04297018482160886,0.021111677715451305
ANXA9,61,27,0.00035261046349805043,0.001135643135495115,0.058966513683494814
AOAH,425,108,1.3093525718022194e-80,7.505288902032721e-79,0.5619921808601054
AOC1,434,163,1.302817760068134e-57,3.212761431970975e-56,0.47443481217066125
AP1M1,178,47,5.162432934071453e-22,4.7916821881263956e-21,0.23204147543770187
AP1M2,185,50,1.4264035665812464e-22,1.4824725787485923e-21,0.23899371069182387
AP1S1,431,152,4.259721605931774e-61,1.3640191701041233e-59,0.48978412374638786
AP2A1,129,26,6.3045481541317535e-19,4.654951041236513e-18,0.18337582865884755
AP2M1,65,14,3.5461000515614924e-09,2.3817231920550307e-08,0.09070202277749448
AP2S1,124,23,2.319396937526648e-19,1.7547961313740657e-18,0.1800271970083291
AP3B1,23,9,0.019296343833463993,0.038618402410842516,0.024460309365969744
AP3D1,185,50,1.4264035665812464e-22,1.4824725787485923e-21,0.23899371069182387
AP4B1,45,12,1.5423755024707707e-05,7.77295144164632e-05,0.058439571647118826
AP5B1,7,26,0.0005652120209375938,0.0017110167567911275,0.0364439911609723
AP5S1,177,43,1.6779817172876534e-23,2.0571370963449778e-22,0.23778684344722084
AP5Z1,422,101,2.8232441068338105e-83,3.16772421791733e-81,0.5697943226245112
APAF1,30,9,0.0009740817847902242,0.0027874924245387934,0.03707292197858236
APBA1,43,22,0.01466769136654186,0.030416927498305112,0.03596804351521333
APBB1IP,14,55,7.481377594580341e-08,4.5728664515835397e-07,0.07854835968043516
APBB3,24,9,0.01293946193370139,0.027239254180029083,0.026262111167771548
APC,24,9,0.01293946193370139,0.027239254180029083,0.026262111167771548
